PlayerGagged,,,(You can use or remove items by selecting specific body regions on yourself.),,
0,,,(You can use or remove items by selecting specific body regions on yourself.),,
0,,(View your profile.),,DialogViewProfile(),
0,,(Change your clothes.),,DialogChangeClothes(),DialogCanChangeClothes()
0,30,(Room administrator action.),"(As a room administrator, you can take these actions.)",,DialogChatRoomPlayerIsAdmin()
0,100,(Character actions.),(Possible character actions.),,DialogCanPerformCharacterAction()
0,40,(Spend GGTS minutes.),(Select how to spend your minutes.),,DialogGGTSCanSpendMinutes()
0,0,(View your current rules.),(Here are your currently active rules.),DialogViewOwnerRules(),DialogCanViewRules()
0,,(Leave this menu.),,DialogLeave(),
30,0,(Move Character.),(Move started.),"DialogChatRoomAdminAction(""Move"")",
30,0,(Back to main menu.),(You can use or remove items by selecting specific body regions on yourself.),,
40,0,(Spend 15 minutes for a bondage position change.),,"DialogGGTSAction(""ItemPose"", ""15"")",DialogGGTSMinuteGreater(15)
40,,(Spend 15 minutes for a bondage position change.),(You don't have enough minutes available.),,!DialogGGTSMinuteGreater(15)
40,0,(Spend 15 minutes for a new blindness level.),,"DialogGGTSAction(""ItemMaskBlind"", ""15"")",DialogGGTSMinuteGreater(15)
40,,(Spend 15 minutes for a new blindness level.),(You don't have enough minutes available.),,!DialogGGTSMinuteGreater(15)
40,0,(Spend 15 minutes for a new deafness level.),,"DialogGGTSAction(""ItemEarsDeaf"", ""15"")",DialogGGTSMinuteGreater(15)
40,,(Spend 15 minutes for a new deafness level.),(You don't have enough minutes available.),,!DialogGGTSMinuteGreater(15)
40,0,(Spend 15 minutes for an sexual intensity change.),,"DialogGGTSAction(""ItemIntensity"", ""15"")",DialogGGTSMinuteGreater(15)
40,,(Spend 15 minutes for a sexual intensity change.),(You don't have enough minutes available.),,!DialogGGTSMinuteGreater(15)
40,0,(Spend 30 minutes to unlock the door.),,"DialogGGTSAction(""UnlockRoom"", ""30"")",DialogGGTSCanUnlock()
40,,(Spend 30 minutes to unlock the door.),(You must have 30 minutes and be the admistrator of the locked room.),,!DialogGGTSCanUnlock()
40,,(Spend 120 minutes to get $100.),(GGTS gives you $100 and substracts 120 minutes to your total.),"DialogGGTSAction(""MoneyForMinutes"", ""120"")",DialogGGTSMinuteGreater(120)
40,,(Spend 120 minutes to get $100.),(You don't have enough minutes available.),,!DialogGGTSMinuteGreater(120)
40,,(Spend 200 minutes to get your own GGTS helmet.),(You get a GGTS helmet and the AI substracts 200 minutes from your total.),"DialogGGTSAction(""GetHelmet"", ""200"")",DialogGGTSCanGetHelmet()
40,,(Spend 200 minutes to get your own GGTS helmet.),(You don't have enough minutes available or you already have the helmet in your inventory.),,!DialogGGTSCanGetHelmet()
40,0,(Back to main menu.),(You can use or remove items by selecting specific body regions on yourself.),,
100,,,(Possible character actions.),,
100,101,(Adjust your bondage skill.),"(By default, you restrain using your full bondage skill.  You can use less of your skill and make it easier for your victims to escape.)",,"DialogSkillGreater(""Bondage"", 1)"
